Name,PrivacyPolicyURL
01advertising,https://www.01advertising.com/legal/privacy/
33mileradius,https://www.33mileradius.com/privacy-policy/
33across,https://www.33across.com/privacy-policy/ccpa-notice/
4cinsights,https://www.mediaocean.com/privacy-policy
4eyesai,https://4-eyes.ai/privacy-policy/
5x5us,https://join5x5.com/privacy-policy
6senseinsights,https://6sense.com/privacy-policy/
abovedata,https://www.abovedata.io/privacy-policy/
accenturellp,https://www.accenture.com/content/acom/us-en/support/privacy-policy
accurateappend,https://accurateappend.com/privacy-policy/
acronymix,https://acronymix.com/privacy-policy/
activeintelinvestigations,https://www.activeintel.com/terms-conditions-copy/
activimpact,https://www.activimpact.ai/privacy-policy?hslang=en
acuant,https://www.acuant.com/en/privacy-policy/
acutraqbackgroundscreening,https://www.acutraq.com/privacy-policy/
acxiom,https://www.acxiom.com/privacy/
addirect,https://www.addirectinc.com/privacy.html
adadapted,https://www.adadapted.com/legal/privacy-policy
addressclearinghouse,https://www.achcoop.com/privacy-policy
adeptid,https://www.adept-id.com/privacy-policy/
adsquaregmbh,https://adsquare.com/privacy/
advantagecredit,https://www.advcredit.com/privacy-policy-2/
advantagesalesmarketing,https://take5mg.com/privacypolicy-ca-residents-notice/
advertise4sales,https://www.4legalleads.com/lawyer-faq/#lp-pom-block-926
advisortarget,https://www.finsum.com/index.php/what-we-do/privacy-policy
affinityanswers,https://www.affinityanswers.com/privacy-policy-update/
affinitysolutions,https://www.affinity.solutions/data-privacy-notice/
agrmarketingsolutions,https://www.agrmarketingsolutions.com/privacy-policy
aidentified,https://www.aidentified.com/privacy-policy
aisportfolioservices,https://www.aisinfo.com/privacy?hslang=en
aisrecoverysolutions,https://aisrecovery.com/privacy-policy/
alc,https://adstradata.com/privacy-policy/
alikeaudience,https://www.alikeaudience.com/privacy-policy/
allgoodmedia,https://www.attribits.com/privacy-policy
alliantcooperativedatasolutions,https://alliantinsight.com/alliant-privacy-policy/
alloy,https://www.alloy.us/privacy-policy/
alphonso,https://lgads.tv/site-privacy-policy/
altairdataresources,https://www.altairdata.com/altair-privacy-policy/
altisourceholdings,https://www.altisource.com/privacy-policy
americancitybusinessjournals,https://www.acbj.com/privacy
amerilist,https://www.amerilist.com/privacypolicy
amrent,https://www.amrent.com/privacy_policy.html
analyticsiq,https://www.analytics-iq.com/privacy-policy/
andrewswharton,https://www.andrewswharton.com/privacy
annelewisstrategies,https://missionwired.com/privacy-policy/
anteriad,https://anteriad.com/privacy-policy
apihub,https://www.clearbit.com/privacy-policy
apollointeractive,https://www.apollointeractive.com/privacy-policy.php
appscience,https://appsci.io/privacy-policy
aristotleinternational,https://www.aristotle.com/privacy/
arity875,https://arity.com/privacy/
aspirenorth,https://www.americanspiritcorp.com/data-services-and-website-privacy-policy.html
assuranceiq,https://assurance.com/assurance-privacy-practices.html#topprivacypolicy
astoriacompanymarketing,https://www.astoriacompany.com/privacy-policy/
atdata,https://www.atdata.com/privacy-policy/
atlanticfoxtechnologies,https://www.atlanticfox.com/privacy-policy/
attomdatasolutions,https://www.attomdata.com/privacy/
audienceacuity,https://audienceacuity.com/privacy-policy/
audiencerateltd,https://www.audiencerate.com/privacy
automationresearch,https://info.dataverify.com/privacy
automotivemastermind,https://www.automotivemastermind.com/privacy-policy
autoweb,https://www.autoweb.com/privacy
awlholdings,https://awl.com/privacy/
azerionus,https://www.azerion.com/azerion-global-corporate-privacy-notice/
azira,https://azira.com/privacy-policy/
backgroundinformationservices,https://www.bisi.com/?pg=privacy
backgroundcheckscom,https://www.backgroundchecks.com/privacy-policy
bbdirect,https://www.bbdirect.com/privacy.html
bdex,https://www.bdex.com/privacy-policy
bdogci,https://www.bdo.com/privacy-policy
bdousallp,https://www.bdo.com/website-terms-and-conditions
beenverified,https://www.beenverified.com/faq/privacy/
beeswax,https://www.beeswax.com/privacy/
belardiostroyalc,https://www.belardiwong.com/privacy-policy
bestpickreports,https://www.bestpickreports.com/content/privacy-policy
biointelli,https://www.biointelli.com/account/privacypolicy
birchwoodcreditservices,https://www.birchwoodcreditservices.com/privacy-policy/
biscred,https://www.biscred.com/privacy-policy
blackpearlgrouplimited,https://www.blackpearl.com/privacy-policy
blackbaud,https://www.blackbaud.com/company/privacy-policy/north-america
blisgloballtd,https://www.blis.com/privacy-centre/
blueaction,https://www.blueaction.io/privacy
bluehillmarketingsolutions,https://www.liftengine.com/privacy-policy/
boardex,https://boardex.com/privacy-policy
boardroominsiders,https://boardroominsiders.com/privacy-policy
bombora,https://bombora.com/privacy-policy/
bookyourdata,https://www.bookyourdata.com/privacy-policy
brightcheck,https://www.brightcheck.com/privacy-policy
brooksintegratedmarketing,https://www.brooksim.com/privacy-policy
btrsholdings,https://www.billtrust.com/legal/privacy-policy
buildertrendsolutions,https://www.buildertrend.com/additional-state-disclosures/
businesscom,https://www.business.com/privacy-policy/
buxtoncompany,https://www.buxtonco.com/privacy-policy
buyerlink,https://www.buyerlink.com/privacy
bvinsights,https://big-village.com/privacy-policy/
cadent,https://cadent.tv/privacy-policy
cappexcom,https://www.appily.com/privacy-policy
captifytechnologies,https://www.captifytechnologies.com/privacy-notice/
carcogroup,https://www.cisive.com/legal-pages/privacy-and-cookies-policy
cardlytics,https://www.bridg.com/privacy-policy
carrytechnologies,https://www.hightouch.com/privacy-policy
catalina,https://www.catalina.com/privacy-policy/
catalinamarketing,https://www.catalina.com/legal#privacy-notice
catalist,https://catalist.us/privacy-policy/
catalyzeai,https://www.catalyzeai.com/privacy-policy
cbcinnovis,https://www.cbcinnovis.com/privacy/
cdkglobal,https://www.cdkglobal.com/privacy-policy
cengagelearning,https://www.cengagegroup.com/privacy/
censia,https://www.censia.com/privacy-policy/
checkpeople,https://www.checkpeople.com/do-not-sell-info
choreographllp,https://www.choreograph.com/global-privacy-policy/global-privacy-policy-english
cicmortgagecredit,https://www.ciccredit.com/information-security-policy/
cisionus,https://www.cision.com/legal/privacy-policy/
citydata,https://www.citydata.ai/privacy/do_not_sell_personal_information/
civildataresearch,https://www.searchpublicrecords.com/help-center/privacy
civisanalytics,https://www.civisanalytics.com/privacy-policy/
civitech,https://www.civitech.io/privacy-policy/
claritas,https://www.claritas.com/privacy-legal/
clarityservices,https://www.clarityservices.com/privacy-policy/
claylabs,https://www.clay.com/privacy
clearcompany,https://www.clearcompany.com/privacy-policy/
clearviewai,https://www.clearview.ai/privacy-policy
clickagy,https://www.clickagy.com/privacy/
co2ventures,https://oncoreleads.com/privacy-policy/
cognism,https://www.cognism.com/privacy-policy
commandprecision,https://www.persistent.id/privacy-policy
commercialrealestateexchange,https://www.crexi.com/privacy
compile,https://mckessoncompile.com/privacy-notice?hslang=en
complementics,https://www.complementics.com/privacy
completemailinglists,https://www.completemailinglists.com/privacy-policy
completemedicallists,https://www.completemedicallists.com/privacy.php
comscore,https://www.comscore.com/about/privacy-policy
connectedinvestors,https://connectedinvestors.com/privacy-policy
connextdigital,https://www.connextdigital.com/privacy-policy/
consider,https://consider.com/legal/privacy
contactout,https://contactout.com/privacy
contemporaryinformationcorp,https://www.cicreports.com/legal-and-privacy-policy/
convergedirect,https://www.convergedirect.com/compliance
convexlabs,https://www.convex.com/privacy-policy/
corelogicsolutions,https://www.cotality.com/legal/privacy-policy
costargroup,https://www.costar.com/about/privacy-notice
crawlbeecorp,https://www.crawlbee.com/optout
creditbureauofcouncilbluffs,https://www.creditinfosystems.com/privacy-policy/
crisilirevnaus,https://www.crisil.com/en/home/crisil-privacy-notice.html
crisilirvenaus,https://www.crisil.com/content/crisilcom/en/home/crisil-privacy-notice.html
crosspixelmedia,https://www.crosspixel.net/privacy-policy/
crosswalktechnologies,https://www.crosswalknyc.com/privacy-policy-1
ctamleadsharecorp,https://www.smartmove.us/company/privacy
cuebiqgroup,https://www.cuebiq.com/privacypolicy/
cybba,https://www.cybba.com/privacy-policy/
datadecisionsgroup,https://www.datadecisionsgroup.com/privacy-policy/
datafacts,https://www.datafacts.com/privacy-policy
datapartners,https://www.datapartners.com/privacy-policy
datapluscontent,https://www.datapluscontent.com/privacy-policy
databaseusacom,https://www.databaseusa.com/index.php/privacy-policy/
datadelivers,https://datadelivers.com/privacy-policy/
datafy,https://www.datafy.com/privacy-policy
dataline,https://www.datalinedata.com/privacyportal/
datamail,https://www.data-management.com/privacy-policy
datamentors,https://www.porchgroupmedia.com/privacy-policy/
datanyze,https://www.datanyze.com/privacy-center
datasysgroup,https://www.datasys.com/privacy-policy
dataxltd,https://www.dataxltd.com/privacy-policy/
datonics,https://www.datonics.com/privacy/technology-privacy-policy
dealerdirect,https://www.forddirect.com/privacy
dealersocket,https://dealersocket.com/privacy-policy/
dealerxpartners,https://dealerx.com/privacy-policy/
decidetechnologies,https://www.decide.co/privacy
decisionlinks,https://www.decisionlinks.com/privacy-policy
deeprootanalytics,https://www.deeprootanalytics.com/privacy-policy
deeptrace,https://coresignal.com/privacy-policy/
definitivehealthcare,https://www.definitivehc.com/privacy-center
deloittefinancialadvisoryservicesllp,https://www2.deloitte.com/us/en/legal/privacy.html
deluxe,https://www.deluxe.com/policy/privacy/
demandscienceus,https://demandscience.com/privacy-policy/
demandbase,https://www.demandbase.com/privacy-center.html?ketch_preferences_tab=rightstab
demystdataltd,https://www.demyst.com/privacy-policy
diablomedia,https://www.diablomedia.com/privacy/
dicecareersolutions,https://www.dice.com/about/privacy-policy
digicenter,https://www.collectivedata.io/website-visitor-privacy-policy/
digitalmediasolutions,https://www.digitalmediasolutions.com/privacy-policy
digitalsafetyproducts,https://www.spyfly.com/help-center/privacy
digitalsegment,https://www.digitalsegment.com/about/privacy-policy/
digitalvikingmedia,https://www.digitalvikingmedia.com/privacy-policy
discotechnology,https://www.disconetwork.com/privacy-policy
disqus,https://www.disqus.com/privacy
dspolitical,https://www.winwithoptimal.com/privacy-policy/
dstillery,https://www.dstillery.com/privacy-policy/
dtclientservices,https://www.thedatatrust.com/privacy-policy/
dtn,https://www.dtn.com/privacy-and-cookies/
dunbradstreet,https://www.dnb.com/utility-pages/privacy-policy.html
dustinblackman,https://www.leadquotesmedia.com/privacy-policy/
dynata,https://www.dynata.com/privacy-policy/
economicmodeling,https://www.lightcast.io/privacy-policy#privacy-policy
edvisorsnetwork,https://www.edvisors.com/privacy-policy/
effyis,https://www.socialgist.com/privacy-and-terms
ekata,https://www.ekata.com/privacy-policy/
eltorocom,https://www.eltoro.com/your-privacy-choices/
electronicvoiceservices,https://www.telephonelists.biz/privacy-policy-of-telephonelists-biz
emailmarketingservices,https://listmatch.com/privacy/privacy.php
emailmoversltd,https://emailmovers.com/privacy-policy/
emergescom,https://www.emerges.com/privacy-policy_ep_42-1.html
endgamelabs,https://www.endgame.io/privacy
enformion,https://www.enformion.com/privacy-policy/
enigmatechnologies,https://enigma.com/company/privacy-policy
eprodirect,https://www.eprodirect.com/privacy-policy/
epsilondatamanagement,https://legal.epsilon.com/global-privacy-policies/
equationconsulting,https://finthrive.com/privacy-policy-overview?hslang=en#main
equimine,https://www.propstream.com/privacy-policy
erepublic,https://www.erepublic.com/privacy/
evorraltd,https://www.evorra.com/privacy-data-policies/product-privacy-policy/
exactopco,https://www.remodelyourhome.com/policy.html
experianmarketingsolutions,https://www.experian.com/privacy/us-consumer-data-privacy-policy
explorium,https://www.explorium.ai/privacy-policy/
exponentialinteractive,https://www.vdx.tv/policies/privacy
eyeotapteltd,https://www.eyeota.com/privacy-center
factualdata,https://www.factualdata.com/privacy/privacy-policy
fairscreen,https://fairscreen.com/privacy-policy/
familytreenow,https://www.familytreenow.com/privacy
famousbirthdays,https://www.famousbirthdays.com/privacy/
fanspoko,https://www.fantasysportsknockout.com/info/privacy-policy/
faraday,https://www.faraday.io/legal
fdholdings,https://www.factualdata.com/privacy/
fideointelligence,https://www.fideo.ai/privacy/privacy-policy/
fiftytechnologyltd,https://www.fifty.io/privacy-policy
findem,https://www.findem.ai/privacy-policy
finthrivehealthcare,https://www.finthrive.com/privacy-policy-overview?hslang=en
firstamericandatatree,https://www.firstam.com/privacy-policy/
firstdirect,https://firstdirectmarketing.com/privacy-policy/
firstmoversadvantage,https://www.fmadata.com/privacy-policy
firstorion,https://www.firstorion.com/first-orion-global-privacy-and-compliance-dashboard/
firstorioncorp,https://www.iubenda.com/privacy-policy/60166633/legal?an=no&s_ck=false&newmarkup=yes#notice_at_collection
focususa,https://www.focus-usa.com/privacy-policy/
foomonk,https://instantly.ai/privacy
foragerai,https://www.forager.ai/privacy-policy
forewarn,https://www.forewarn.com/privacy-policy/
fourleaf,https://www.fourleafdata.com/privacy-policy
foursquarelabs,https://location.foursquare.com/legal/foursquare-privacy-policy-consumer-services/
fourthwallmedia,https://www.fourthwall.tv/privacy-fourthwall
fraiser,https://www.fraiser.org/privacy-policy
freedataservices,https://www.truepeoplesearch.com/privacy
freepeoplesearchcom,https://www.freepeoplesearch.com/privacy-policy/
freewheelmedia,https://www.freewheel.com/privacy-policy
freshaddress,https://www.freshaddress.com/privacy-policy/
fushiamedia,https://www.fushiamedia.com/privacy
fyllo,https://www.hellofyllo.com/legal/privacy-policies
gale,https://www.cengage.com/privacy
getemails,https://www.retention.com/article-update-privacy-policy
giantpartners,https://giantpartners.com/privacy-policy/
grassrootsanalytics,https://www.grassrootsanalytics.com/website-privacypolicy
gravyanalytics,https://docs.gravyanalytics.com/privacypolicy.html
grayhairsoftware,https://www.grayhairsoftware.com/privacy-policy/
greatlakeslist,https://www.greatlakeslists.com/privacy-policy
greenhousesoftware,https://www.greenhouse.com/privacy-policy
grintechnologies,https://www.grin.co/privacy/
growbots,https://www.growbots.com/privacy/
guidestardirectcorp,https://www.carneydirect.com/privacy-policy/
gundersondirect,https://gundir.com/privacy-policy/
h1insights,https://h1.co/privacy-policy/
harmonresearchgroup,https://www.harmonresearch.com/privacy-policy
healthcare,https://www.healthcare.com/privacy-policy
healthlinkdimensions,https://www.healthlinkdimensions.com/privacy-policy?hslang=en
healthwisedata,https://www.healthwisedata.com/privacy
heartbeatai,https://www.heartbeat.ai/policy
helixcampaigns,https://helixcampaigns.com/privacy/
hexasoftdevelopmentsdnbhd,https://www.ip2location.com/privacy-policy
hireteammate,https://www.app.hireez.com/ownyourdata
hivestack,https://www.hivestack.com/privacy-policy/
homecontractorsreview,https://www.fivestarrated.com/privacy-policy
homedata,https://deepsync.com/privacy-policy/
homeownersmarketingservices,https://homeownersmarketingservices.com/privacy-policy/
hubspot,https://legal.hubspot.com/privacy-policy
huntclub,https://www.exploreatlas.io/privacy
hunterwebservices,https://hunter.io/privacy-policy
i360,https://www.i-360.com/privacy-policy/
id5technologyltd,https://www.id5.io/privacy-policy/
idengine,https://idengine.com/privacy-policy/
idology,https://www.idology.com/en/privacy-policy/
ileadscom,https://ileads.com/company/privacy-policy/
imprintanalytics,https://imprintanalytics.io/privacy/
inboundinsight,https://www.inboundinsight.com/privacy-policy/
incheck,https://www.inchecksolutions.com/privacy-policy/
indiemark,https://www.blackbox.email/privacy-policy?hslang=en
infiniteknot,https://www.contacts411.com/privacy-policy
infinitemediaconcepts,https://www.mailinglists.com/about/privacy-policy/
inflectioncom,https://www.inflection.com/privacy-policy
infocore,https://infocore.com/privacy/
infofreecom,https://www.infofree.com/privacy-policy/
infogroup,https://www.data-axle.com/privacy-policy/
infomatics,https://www.privatereports.com/optout/name/landing
infopay,https://www.infopay.com/privacy
informausa,https://privacy.informa.com/
informationdataresources,https://www.publicinfoservices.com/help-center/privacy
informationcom,https://www.information.com/remove-my-info/
infutordatasolutions,https://infutor.com/privacy-policy
inmarketmedia,https://www.inmarket.com/privacy
inmaroiq,https://www.owneriq.com/privacy-notice
innovativedatabasesolutions,https://www.idatabasesolutions.com/privacy/
innovisdatasolutions,https://www.innovis.com/home/privacy
insightbridge,https://www.mylife.com/privacy-policy
instantcheckmate,https://www.instantcheckmate.com/privacy-policy/
institutionalshareholderservices,https://www.issgovernance.com/privacy-legal/
intalytics,https://www.kalibrate.com/privacy-policy/
integrateddirectmarketing,https://www.idm.us.com/do-not-sell-my-personal-information/
intelius,https://www.intelius.com/privacy-policy/
intellicorprecords,https://www.intellicorp.net/marketing/privacy
intentiq,https://www.intentiq.com/website-privacy-policy/
intentsify,https://intentsify.io/privacy-policy/
interactivedata,https://www.ididata.com/idis-privacy-statement/
iqdatasystems,https://clients.backgroundsonline.com/policies/privacy
iqvia,https://www.iqvia.com/about-us/privacy/privacy-policy
iqviadigital,https://www.iqvia.com/about-us/privacy-policy
irys,https://www.irys.us/privacy-policy
ispottv,https://www.ispot.tv/privacy
iwaveinformationsystems,https://kindsight.io/privacy-policy/
j2globalcanada,https://www.fullcontact.com/privacy/privacy-policy/
j2martechcorp,https://www.ziffdavis.com/privacy
jdpower,https://www.jdpower.com/privacy
jdmlistservices,https://www.jdmlistservices.com/privacy-policy
jmrmediaconsulting,https://www.jmr-media.com/privacy
jungroupproductions,https://www.jungroup.com/optout
kargoglobal,https://www.kargo.com/privacy
kbsynergy,https://www.kbsynergy.com/privacy-policy-ccpa-do-not-sell-my-information/
keymarketingadvantage,https://www.keymarketingadvantage.com/privacy_policy
keywordconnects,https://www.keywordconnects.com/privacy-policy
klarifi,https://klarifi.io/privacy-policy
